appid,store_market,available_in_cn,name,type,is_free,release_date_text,coming_soon,currency,initial_price,final_price,discount_percent,developers,publishers,genres,supports_simplified_chinese,all_review_count,all_positive_count,all_negative_count,chinese_review_count,chinese_positive_count,chinese_negative_count,non_chinese_review_count,non_chinese_positive_count,chinese_review_share,all_positive_rate,chinese_positive_rate,non_chinese_positive_rate,positive_rate_gap,chinese_vs_non_chinese_gap,mostplayed_rank,topselling_rank,chart_count,sample_origin,curated_reason,snapshot_date,collected_at_utc
365670,cn,True,Blender,game,True,"24 Apr, 2015",False,,,,,Blender Foundation,Blender Foundation,Animation & Modeling | Design & Illustration | Video Production,True,91666,87975,3691,10959,10743,216,80707,77232,0.11955359675343094,0.9597342526127463,0.9802901724609909,0.9569430160952581,0.020555919848244675,0.023347156365732813,86,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
39210,us,False,FINAL FANTASY XIV Online,game,False,"Feb 18, 2014",False,USD,19.99,19.99,0,Square Enix,Square Enix,Massively Multiplayer | RPG,False,85767,74212,11555,608,385,223,85159,73827,0.007088973614560378,0.8652745228351231,0.6332236842105263,0.8669312697424817,-0.23205083862459674,-0.23370758553195536,87,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
2001120,cn,True,Split Fiction,game,False,"6 Mar, 2025",False,CNY,198.0,128.7,35,Hazelight Studios,Electronic Arts,Action | Adventure,True,126940,123030,3910,60125,58751,1374,66815,64279,0.4736489680163857,0.9691980463210966,0.9771476091476091,0.9620444510963108,0.00794956282651249,0.01510315805129836,,87,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
284160,cn,True,BeamNG.drive,game,False,"29 May, 2015",False,CNY,68.0,68.0,0,BeamNG,BeamNG,Racing | Simulation | Early Access,True,418878,407147,11731,6431,6177,254,412447,400970,0.015352918988345055,0.9719942322108108,0.9605038096719017,0.9721733943997654,-0.011490422538909084,-0.011669584727863613,88,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1295660,cn,True,Sid Meier's Civilization VII,game,False,"10 Feb, 2025",False,CNY,298.0,298.0,0,Firaxis Games,2K,Simulation | Strategy,True,61970,29332,32638,8906,3040,5866,53064,26292,0.14371470066161046,0.4733258028078102,0.341342914888839,0.49547715965626415,-0.13198288791897123,-0.15413424476742515,,88,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1627720,cn,True,Lies of P,game,False,"18 Sep, 2023",False,CNY,298.0,149.0,50,NEOWIZ,NEOWIZ,Action | Adventure | RPG,True,82649,75729,6920,14129,11883,2246,68520,63846,0.1709518566467834,0.9162724291884959,0.8410361667492392,0.9317863397548161,-0.07523626243925674,-0.09075017300557686,,89,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
2252570,cn,True,Football Manager 2024,game,False,"6 Nov, 2023",False,,,,,Sports Interactive,SEGA,Simulation | Sports | Strategy,True,28566,26166,2400,3356,2875,481,25210,23291,0.11748232164111182,0.9159840369670237,0.8566746126340882,0.9238794129313764,-0.05930942433293551,-0.06720480029728826,89,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1476970,cn,True,IdleOn - The Incremental MMO,game,True,"6 Nov, 2025",False,,,,,Lavaflame2,Lavaflame2,Adventure | Casual | Indie | Massively Multiplayer | RPG | Simulation | Strategy | Free To Play,True,29812,23010,6802,968,634,334,28844,22376,0.032470146249832285,0.7718368442238025,0.6549586776859504,0.7757592566911663,-0.1168781665378521,-0.1208005790052159,90,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
813780,cn,True,Age of Empires II: Definitive Edition,game,False,"14 Nov, 2019",False,CNY,188.0,188.0,0,World's Edge | Forgotten Empires | CaptureAge | Tantalus Media | Wicked Witch | Feral Interactive,Xbox Game Studios,Strategy,True,182408,173139,9269,23748,21844,1904,158660,151295,0.1301916582606026,0.949185342748125,0.9198248273538824,0.9535799823521997,-0.02936051539424267,-0.03375515499831727,92,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
3932890,cn,True,Escape from Tarkov,game,False,"15 Nov, 2025",False,CNY,199.99,199.99,0,Battlestate Games,Battlestate Games,Action | Massively Multiplayer | RPG | Simulation,True,64797,31999,32798,15813,3685,12128,48984,28314,0.24403907588314275,0.493834591107613,0.23303610953013343,0.5780254777070064,-0.2607984815774796,-0.344989368176873,,92,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1808500,us,False,ARC Raiders,game,False,"Oct 30, 2025",False,USD,39.99,39.99,0,Embark Studios,Embark Studios,Action,True,416216,340726,75490,5791,3925,1866,410425,336801,0.013913448786207162,0.8186278278586119,0.677775859091694,0.8206152159347019,-0.14085196876691786,-0.14283935684300786,93,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
4656000,cn,True,BOMBANANA!,game,False,"2 Sep, 2026",False,CNY,29.0,29.0,0,Lefto Studio,TARK,Casual | Indie,True,2749,2659,90,469,452,17,2280,2207,0.17060749363404876,0.9672608221171335,0.9637526652452025,0.9679824561403508,-0.0035081568719309564,-0.0042297908951483,,93,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
583950,cn,True,Artifact,game,True,"28 Nov, 2018",False,,,,,Valve,Valve,Strategy,True,24755,11659,13096,8110,2880,5230,16645,8779,0.32761058372046054,0.47097556049282974,0.35511713933415534,0.5274256533493542,-0.1158584211586744,-0.17230851401519887,94,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
1903340,cn,True,Clair Obscur: Expedition 33,game,False,"24 Apr, 2025",False,CNY,218.0,174.4,20,Sandfall Interactive,Kepler Interactive,Action | RPG,True,278611,265368,13243,39261,34020,5241,239350,231348,0.14091690564981282,0.9524677776541486,0.8665087491403684,0.9665677877585126,-0.08595902851378023,-0.10005903861814425,,94,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
427520,cn,True,Factorio,game,False,"14 Aug, 2020",False,CNY,130.0,130.0,0,Wube Software LTD.,Wube Software LTD.,Casual | Indie | Simulation | Strategy,True,234750,228919,5831,13991,13193,798,220759,215726,0.05959957401490948,0.975160809371672,0.9429633335715817,0.9772013825030916,-0.03219747580009036,-0.034238048931509946,95,,1,chart,,2026-09-18,2026-09-18T08:12:50+00:00
